"event","experiment time","system time","system time text"
"START",0.000000000E0,1763451101.931,"2025-11-18 09:31:41.931 UTC+02:00"
"PAUSE",3.055369185E2,1763451407.468,"2025-11-18 09:36:47.468 UTC+02:00"
