Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
0.057308615,64.9743219,25.7122055,,,,,0.0,683.85302734375,0.0,-1
0.32889838400000004,64.9743219,25.7122055,,,,,0.0,685.7570190429688,0.0,-1
0.347835,64.9743219,25.7122055,,,,,1.1123842355091291,685.8900146484375,0.0,-1
1.18277103,64.98103166666667,25.694665,34.09686291952292,51.599999999999994,3.130025863647461,70.0999984741211,1.114033807222927,7.400000095367432,22.0,14
1.68277103,64.98104333333335,25.694643333333335,34.59687722843242,52.099999999999994,2.804206609725952,71.75,1.1168180965028915,2.5,19.399999618530273,18
2.18277103,64.98101833333334,25.694639999999996,33.99685314232161,51.5,3.01472806930542,76.72000122070312,1.1176850922552348,2.0999999046325684,19.5,20
2.68277103,64.98102166666666,25.694656666666667,34.2968542100498,51.8,2.7578816413879395,75.79000091552734,1.1183472012791495,2.0999999046325684,20.0,20
3.18277103,64.981025,25.694668333333333,34.59685593855349,52.099999999999994,2.8186187744140625,74.52999877929688,1.1206871524600033,2.0,20.5,21
4.1827710300000005,64.98102,25.694716666666668,36.896844645964,54.4,2.825310230255127,85.95999908447266,1.126282649643419,1.899999976158142,19.200000762939453,24
5.93977103,64.98099166666665,25.694815000000002,36.896803852859485,54.4,2.51647686958313,103.66000366210938,1.1287535533706279,2.0,18.799999237060547,29
6.9327710300000005,64.98097,25.694826666666668,35.396781053324794,52.9,2.6719231605529785,125.91000366210938,1.132518389565009,2.0,17.5,27
7.9327710300000005,64.98093833333334,25.694855,33.896746239417105,51.4,2.5483896732330322,121.51000213623047,1.1362624740318563,1.7999999523162842,15.899999618530273,27
8.932771030000001,64.98091333333333,25.694908333333334,33.49671466127401,51.0,2.329118013381958,124.72000122070312,1.1393868743885471,1.7000000476837158,14.399999618530273,28
9.932771030000001,64.98089333333334,25.694954999999997,32.996688869375205,50.5,2.692512035369873,131.08999633789062,1.142398927671397,1.7000000476837158,13.800000190734863,29
10.932771030000001,64.98087833333334,25.69500833333333,33.09666710147148,50.599999999999994,2.845384359359741,120.48999786376953,1.1459437327439448,1.7000000476837158,12.699999809265137,27
11.932771030000001,64.98085999999999,25.69507,32.89664096070478,50.4,2.458313226699829,127.19999694824219,1.1488161364674245,1.600000023841858,12.699999809265137,28
12.932771030000001,64.98084333333333,25.695116666666664,32.696618437678,50.2,3.108922243118286,131.19000244140625,1.151871956338383,1.7000000476837158,12.100000381469727,29
13.932771030000001,64.98082666666666,25.69516833333333,32.59659525308639,50.099999999999994,3.0728917121887207,119.5999984741211,1.1552271309831172,1.7000000476837158,11.800000190734863,28
14.932771030000001,64.98080833333333,25.695224999999997,32.2965697714275,49.8,3.600996732711792,130.07000732421875,1.157023459379789,1.899999976158142,12.5,28
15.432771030000001,64.98079833333333,25.695254999999996,31.796555992258277,49.3,3.325620174407959,128.52000427246094,1.158548215857162,2.0,13.199999809265137,29
15.932771030000001,64.98079166666666,25.695283333333336,31.596545704174986,49.099999999999994,3.3127522468566895,128.27000427246094,1.1606495872841773,2.0999999046325684,14.199999809265137,27
16.43277103,64.98077833333333,25.695314999999997,31.096528433336687,48.599999999999994,3.388416290283203,141.47000122070312,1.1621652493935895,2.200000047683716,14.899999618530273,29
16.93277103,64.98076666666665,25.695331666666668,31.096514781185974,48.599999999999994,3.1619386672973633,147.64999389648438,1.165729028167023,2.200000047683716,15.800000190734863,29
17.93277103,64.98073666666666,25.695358333333335,30.496481816126987,48.0,2.7383222579956055,167.49000549316406,1.1698963353693697,2.200000047683716,16.200000762939453,31
18.93277103,64.9807,25.695376666666668,30.99644341062799,48.5,3.223705291748047,194.07000732421875,1.1728873181839072,1.899999976158142,13.5,32
