"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.410562960E-1,-3.825370073E-1,3.603349924E-1,-2.326149940E-1,5.747047974E-1
3.460667560E-1,-3.163259923E-1,3.135519922E-1,-2.500329912E-1,5.107773310E-1
3.510771420E-1,-2.349220067E-1,2.891120017E-1,-2.100549936E-1,4.276648210E-1
3.560873730E-1,-2.491019964E-1,3.361850083E-1,-9.458500147E-2,4.289737602E-1
3.610977560E-1,-2.365979999E-1,5.154910088E-1,-5.723100156E-2,5.700745401E-1
3.661079930E-1,-4.234769940E-1,7.606719732E-1,-3.089520037E-1,9.237997380E-1
3.711184530E-1,-5.971919894E-1,9.325360060E-1,-4.710820019E-1,1.203403476E0
3.761288400E-1,-6.691499949E-1,7.971739769E-1,-2.206809968E-1,1.063930528E0
3.811390890E-1,-7.300850153E-1,6.333680153E-1,5.573099852E-2,9.681348649E-1
3.861495490E-1,-6.466680169E-1,7.109630108E-1,5.709100142E-2,9.627602553E-1
3.911599450E-1,-2.848590016E-1,5.962420106E-1,-4.232000094E-3,6.608079114E-1
3.961701750E-1,-1.979500055E-2,4.189929962E-1,1.597650051E-1,4.488561348E-1
4.011806350E-1,-1.635449976E-1,2.458360046E-1,-9.862100333E-2,3.113011559E-1
4.061910220E-1,-6.550899744E-1,2.266900055E-2,-1.360199973E-2,6.556231940E-1
4.112012570E-1,-4.343389869E-1,1.444710046E-1,9.062999859E-3,4.578256924E-1
4.162116400E-1,-1.127030030E-1,2.516449988E-1,3.337100148E-2,2.777423195E-1
4.212218830E-1,1.817680001E-1,5.381760001E-1,2.931750119E-1,6.392375150E-1
4.262323420E-1,2.499749959E-1,7.580040097E-1,5.452299714E-1,9.666091759E-1
4.312427190E-1,1.545799971E-1,7.718930244E-1,7.780600190E-1,1.106838385E0
4.362529500E-1,1.929700002E-2,7.286080122E-1,7.242429852E-1,1.027506648E0
4.412634190E-1,3.542700037E-2,7.124580145E-1,4.565989971E-1,8.469558070E-1
4.462738060E-1,-3.942999989E-3,6.099389791E-1,2.500630021E-1,6.592212152E-1
4.512840510E-1,-2.762100101E-1,5.015190244E-1,2.527489960E-1,6.258556994E-1
4.562944330E-1,-4.737879932E-1,4.987129867E-1,2.908670008E-1,7.468556204E-1
4.613048950E-1,-5.665360093E-1,3.475770056E-1,3.797189891E-1,7.654798073E-1
4.663151280E-1,-9.112240076E-1,7.904419899E-1,5.031149983E-1,1.307001313E0
4.713255200E-1,-8.768550158E-1,8.492599726E-1,5.573850274E-1,1.341937140E0
4.763357530E-1,-6.031739712E-1,2.210990041E-1,6.353449821E-1,9.035302184E-1
4.813462080E-1,-5.009739995E-1,-2.187550068E-1,5.812720060E-1,7.979384977E-1
4.863565940E-1,-5.978779793E-1,-5.051990151E-1,5.187860131E-1,9.390543384E-1
4.913668390E-1,-5.568559766E-1,-4.862689972E-1,1.598629951E-1,7.563744400E-1
4.963772220E-1,-4.666610062E-1,-2.972399890E-1,-1.680009961E-1,5.782287095E-1
5.013876830E-1,-3.839969933E-1,-1.687429994E-1,-2.320040017E-1,4.793263476E-1
5.063979210E-1,-3.857429922E-1,-9.504599869E-2,-2.332839966E-1,4.607090415E-1
5.114083800E-1,-4.824649990E-1,-5.521000177E-2,-2.114980072E-1,5.296716214E-1
5.164187530E-1,-5.925250053E-1,-1.029179990E-1,-1.888190061E-1,6.303416641E-1
5.214289840E-1,-5.856180191E-1,-2.267059982E-1,-3.256590068E-1,7.073880566E-1
5.264393660E-1,-5.189620256E-1,-3.089860082E-1,-2.876529992E-1,6.689829484E-1
5.314498320E-1,-5.205529928E-1,-2.646360099E-1,-2.463800013E-1,6.338065487E-1
5.364600650E-1,-4.755299985E-1,-3.208410144E-1,-3.012149930E-1,6.479183653E-1
5.414704470E-1,-5.002040267E-1,-4.011850059E-1,-3.157849908E-1,7.147542499E-1
