"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.526855830E-1,4.031670094E-1,-4.913240075E-1,-1.714861989E0,1.828850611E0
3.576957590E-1,5.228390098E-1,-5.199990273E-1,-1.526239038E0,1.695041362E0
3.627059130E-1,6.074500084E-1,-5.074210167E-1,-1.365586996E0,1.578385075E0
3.677160850E-1,6.645699739E-1,-4.746260047E-1,-1.266932011E0,1.507328701E0
3.727262390E-1,6.887540221E-1,-4.394280016E-1,-1.212072968E0,1.461711310E0
3.777364030E-1,6.623380184E-1,-3.787319958E-1,-1.191076994E0,1.414494249E0
3.827465560E-1,6.361370087E-1,-3.187200129E-1,-1.162508965E0,1.362967290E0
3.877566350E-1,6.245890260E-1,-2.582190037E-1,-1.129338980E0,1.316128807E0
3.927668210E-1,5.568680167E-1,-2.033639997E-1,-1.113590956E0,1.261563998E0
3.977769750E-1,4.403440058E-1,-1.511790007E-1,-1.063088059E0,1.160566308E0
4.027871340E-1,3.226689994E-1,-1.215509996E-1,-9.812290072E-1,1.040048217E0
4.077972880E-1,2.241079956E-1,-1.205610037E-1,-8.671429753E-1,9.037125035E-1
4.128074520E-1,1.561689973E-1,-1.691560000E-1,-7.795320153E-1,8.128177354E-1
4.178176060E-1,4.267499968E-2,-1.516010016E-1,-6.837059855E-1,7.016109278E-1
4.228277600E-1,-7.146599889E-2,-1.451600045E-1,-6.375560164E-1,6.577662883E-1
4.278377020E-1,-9.128600359E-2,-1.635060012E-1,-5.948410034E-1,6.236210117E-1
4.328478540E-1,-1.356550008E-1,-1.231390014E-1,-4.315330088E-1,4.688136417E-1
4.378580080E-1,-1.814769953E-1,3.112999955E-3,-3.002789915E-1,3.508718617E-1
4.428681620E-1,-1.879339963E-1,8.712399751E-2,-2.573879957E-1,3.303912200E-1
4.478783070E-1,-1.121850014E-1,1.429259926E-1,-1.110019982E-1,2.129196034E-1
4.528884610E-1,4.187700152E-2,1.492069960E-1,1.246500015E-2,1.554727858E-1
4.578986290E-1,1.576520056E-1,2.039609998E-1,4.278400168E-2,2.613134423E-1
4.629087830E-1,2.627939880E-1,1.998630017E-1,5.218899995E-2,3.342597662E-1
4.679188510E-1,3.200680017E-1,1.981859952E-1,7.255800068E-2,3.833873732E-1
4.729290030E-1,4.205369949E-1,1.682330072E-1,1.850090027E-1,4.892668392E-1
4.779391570E-1,4.568150043E-1,4.851699993E-2,3.010190129E-1,5.492233550E-1
4.829493110E-1,4.736970067E-1,-2.715799958E-2,3.430809975E-1,5.855177042E-1
4.879594650E-1,4.853360057E-1,-8.897700161E-2,4.661020041E-1,6.787628624E-1
4.929696150E-1,4.802849889E-1,-9.681700170E-2,6.332949996E-1,8.006932989E-1
