"event","experiment time","system time","system time text"
"START",0.000000000E0,1763064800.814,"2025-11-13 22:13:20.814 UTC+02:00"
"PAUSE",6.125679639E1,1763064862.071,"2025-11-13 22:14:22.071 UTC+02:00"
