"event","experiment time","system time","system time text"
"START",0.000000000E0,1762198147.795,"2025-11-03 21:29:07.795 UTC+02:00"
"PAUSE",2.724909631E1,1762198175.044,"2025-11-03 21:29:35.044 UTC+02:00"
